,fund_house,scheme_type,scheme_category,scheme_code,scheme_name,date,nav
10653,Reliance Mutual Fund,135488;INF174K01Y15;-;Kotak FMP Series 180,1099 Days,123455,Reliance Fixed Horizon Fund - XXIV - Series 10 - Dividend Payout Option,30-08-2013,10.01740
10654,Reliance Mutual Fund,135488;INF174K01Y15;-;Kotak FMP Series 180,1099 Days,123454,Reliance Fixed Horizon Fund - XXIV - Series 10 - Growth Option,30-08-2013,10.01740
10655,Reliance Mutual Fund,135488;INF174K01Y15;-;Kotak FMP Series 180,1099 Days,123459,Reliance Fixed Horizon Fund - XXIV - Series 11 - Direct Plan - Growth Option,26-08-2013,10.01560
10656,Reliance Mutual Fund,135488;INF174K01Y15;-;Kotak FMP Series 180,1099 Days,123458,Reliance Fixed Horizon Fund - XXIV - Series 11 - Growth Option,26-08-2013,10.01550
10657,Reliance Mutual Fund,135488;INF174K01Y15;-;Kotak FMP Series 180,1099 Days,123569,Reliance Fixed Horizon Fund - XXIV - Series 13 -Direct Plan -Growth Option,06-09-2013,10.01560
10658,Reliance Mutual Fund,135488;INF174K01Y15;-;Kotak FMP Series 180,1099 Days,123568,Reliance Fixed Horizon Fund - XXIV - Series 13 -Dividend Payout Option,06-09-2013,10.01530
10659,Reliance Mutual Fund,135488;INF174K01Y15;-;Kotak FMP Series 180,1099 Days,123567,Reliance Fixed Horizon Fund - XXIV - Series 13 -Growth Option,06-09-2013,10.01530
10660,Reliance Mutual Fund,135488;INF174K01Y15;-;Kotak FMP Series 180,1099 Days,123742,Reliance Fixed Horizon Fund - XXIV - Series 15-Direct Plan -Growth Option,04-09-2013,10.01540
10661,Reliance Mutual Fund,135488;INF174K01Y15;-;Kotak FMP Series 180,1099 Days,123741,Reliance Fixed Horizon Fund - XXIV - Series 15-Dividend Payout Option,04-09-2013,10.01530
10662,Reliance Mutual Fund,135488;INF174K01Y15;-;Kotak FMP Series 180,1099 Days,123740,Reliance Fixed Horizon Fund - XXIV - Series 15-Growth Option,04-09-2013,10.01530
10663,Reliance Mutual Fund,135488;INF174K01Y15;-;Kotak FMP Series 180,1099 Days,123982,Reliance Fixed Horizon Fund - XXIV - Series 16 - Direct Plan - Growth Plan,17-09-2013,10.02280
10664,Reliance Mutual Fund,135488;INF174K01Y15;-;Kotak FMP Series 180,1099 Days,123985,Reliance Fixed Horizon Fund - XXIV - Series 16 - Growth Plan,17-09-2013,10.02270
10665,Reliance Mutual Fund,135488;INF174K01Y15;-;Kotak FMP Series 180,1099 Days,124097,Reliance Fixed Horizon Fund - XXIV - Series 17 -Dividend Payout Option,17-09-2013,10.01230
10666,Reliance Mutual Fund,135488;INF174K01Y15;-;Kotak FMP Series 180,1099 Days,124099,Reliance Fixed Horizon Fund - XXIV - Series 17- Direct Plan -Dividend Payout Option,17-09-2013,10.01270
10667,Reliance Mutual Fund,135488;INF174K01Y15;-;Kotak FMP Series 180,1099 Days,124098,Reliance Fixed Horizon Fund - XXIV - Series 17-Direct Plan -Growth Option,17-09-2013,10.01270
10668,Reliance Mutual Fund,135488;INF174K01Y15;-;Kotak FMP Series 180,1099 Days,124096,Reliance Fixed Horizon Fund - XXIV - Series 17-Growth Option,17-09-2013,10.01230
10669,Reliance Mutual Fund,135488;INF174K01Y15;-;Kotak FMP Series 180,1099 Days,124213,Reliance Fixed Horizon Fund - XXIV - Series 18 -Direct Plan -Growth Option,20-09-2013,10.01070
10670,Reliance Mutual Fund,135488;INF174K01Y15;-;Kotak FMP Series 180,1099 Days,124211,Reliance Fixed Horizon Fund - XXIV - Series 18 -Dividend Payout Optioin,20-09-2013,10.01060
10671,Reliance Mutual Fund,135488;INF174K01Y15;-;Kotak FMP Series 180,1099 Days,124210,Reliance Fixed Horizon Fund - XXIV - Series 18-Growth Option,20-09-2013,10.01060
10672,Reliance Mutual Fund,IL&FS Mutual Fund,IDF,122903,Reliance Fixed Horizon Fund - XXIV - Series 2 - Direct Plan - Dividend Payout Option,01-08-2013,10.00450
10673,Reliance Mutual Fund,IL&FS Mutual Fund,IDF,122902,Reliance Fixed Horizon Fund - XXIV - Series 2 - Direct Plan - Growth Option,01-08-2013,10.00450
10674,Reliance Mutual Fund,135488;INF174K01Y15;-;Kotak FMP Series 180,1099 Days,122901,Reliance Fixed Horizon Fund - XXIV - Series 2 - Dividend Payout Option,01-08-2013,10.00390
10675,Reliance Mutual Fund,IL&FS Mutual Fund,IDF,122900,Reliance Fixed Horizon Fund - XXIV - Series 2 - Growth Option,01-08-2013,10.00390
10676,Reliance Mutual Fund,135488;INF174K01Y15;-;Kotak FMP Series 180,1099 Days,124250,Reliance Fixed Horizon Fund - XXIV - Series 20 - Direct Plan - Dividend Payout Option,01-10-2013,10.01460
10677,Reliance Mutual Fund,135488;INF174K01Y15;-;Kotak FMP Series 180,1099 Days,124249,Reliance Fixed Horizon Fund - XXIV - Series 20 - Direct Plan - Growth Option,01-10-2013,10.01460
